Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-6105.105	-6306.136	201.0309	1.005809	1.77936	0.5062327	0.781947	0.218053	4.389337
6	-6095.287	-6295.577	200.29	1.061796	1.77936	0.5062327	0.728636	0.271364	4.773796
12	-6095.697	-6296.279	200.582	1.026231	1.77936	0.5062327	0.751967	0.248033	4.630327
18	-6102.988	-6303.289	200.3015	1.079555	1.754071	0.5273595	0.751967	0.248033	4.747522
24	-6103.767	-6302.765	198.9976	0.9533955	2.043397	0.406809	0.73919	0.26081	5.557611
30	-6107.14	-6307.141	200.001	1.067178	2.087968	0.3600323	0.787061	0.212939	4.977523
36	-6116.434	-6316.155	199.7211	1.15864	1.852961	0.3126117	0.788826	0.211174	5.216307
42	-6125.823	-6326.556	200.7334	1.219411	1.502174	0.3126117	0.778586	0.221414	4.751514
48	-6105.837	-6307.288	201.4505	1.258803	1.757224	0.3864628	0.778586	0.221414	4.138178
54	-6111.058	-6312.006	200.9482	1.091762	1.705791	0.5676154	0.774559	0.225441	4.360136
60	-6108.17	-6308.869	200.6997	1.071506	1.719856	0.5035523	0.774559	0.225441	4.563124
66	-6101.643	-6302.978	201.335	1.12845	1.990544	0.5498484	0.743294	0.256706	4.034145
72	-6101.645	-6301.147	199.5015	0.9454673	1.869735	0.4474176	0.770888	0.229112	5.300304
78	-6102.161	-6301.414	199.2534	0.9454673	1.623457	0.4474176	0.775032	0.224968	5.525614
84	-6099.474	-6300.501	201.0268	1.242619	2.151322	0.2994744	0.764347	0.235653	4.359332
90	-6103.525	-6304.515	200.9903	1.199471	2.139422	0.3379414	0.804936	0.195064	4.359332
96	-6105.394	-6305.859	200.4649	1.22898	2.195663	0.2962569	0.779653	0.220347	4.673444
102	-6105.404	-6306.093	200.689	1.148058	1.965922	0.3837624	0.792345	0.207655	4.560781
108	-6116.556	-6318.154	201.5979	1.061092	1.737181	0.5290778	0.772908	0.227092	4.03086
114	-6106.913	-6307.147	200.2339	1.082372	1.443471	0.4760001	0.775469	0.224531	4.952155
120	-6101.569	-6301.376	199.8071	1.041308	1.548492	0.4607662	0.716975	0.283025	5.18345
126	-6096.987	-6295.709	198.7217	0.8620044	1.742884	0.4387798	0.773486	0.226514	5.827422
132	-6108.081	-6306.664	198.5834	0.8688705	1.742884	0.5156185	0.773486	0.226514	5.827422
138	-6108.826	-6308.83	200.0046	1.032564	1.792964	0.5131192	0.827264	0.172736	4.938061
144	-6094.377	-6294.707	200.3293	0.9998089	1.529201	0.4421927	0.817136	0.182864	4.942737
150	-6091.075	-6290.841	199.7657	1.02295	1.690339	0.4849317	0.817136	0.182864	5.139157
156	-6101.547	-6301.891	200.3435	0.9315445	1.607053	0.4149266	0.833894	0.166106	4.969936
162	-6095.991	-6295.522	199.5318	0.9476846	1.637124	0.4903579	0.678372	0.321628	5.324939
168	-6105.562	-6304.814	199.2517	0.9300229	1.653334	0.4903579	0.78678	0.21322	5.482896
174	-6108.849	-6309.897	201.048	1.057427	1.625768	0.5144902	0.819629	0.180371	4.40066
180	-6114.319	-6314.673	200.3545	0.9704157	1.505399	0.4987947	0.85684	0.14316	4.900352
186	-6111.074	-6311.11	200.0357	1.138756	1.456254	0.5152356	0.662979	0.337021	4.989332
192	-6105.728	-6306.245	200.5175	0.9931836	1.872941	0.4930675	0.761326	0.238674	4.664125
198	-6104.126	-6303.152	199.0257	0.8944345	1.657491	0.4074825	0.768882	0.231118	5.706168
204	-6090.859	-6291.313	200.4539	1.056526	1.657491	0.4074825	0.768882	0.231118	4.82741
210	-6093.118	-6293.531	200.4126	0.9806569	1.9238	0.4236592	0.751011	0.248989	4.780652
216	-6105.53	-6306.297	200.7671	1.063174	1.9238	0.4236592	0.797259	0.202741	4.53585
